JPMorgan Chase & Co.,JPM,36.97,0.05,
BNP Paribas SA,BNP,33.67,-0.35,
Credit Agricole SA,ACA,3.98,-0.02,
Citigroup Inc.,C,28.90,0.04,
Bank of America Corp,BAC,7.74,0.02,
Societe Generale SA (ADR),SCGLY,4.92,0.11,
Wells Fargo & Company,WFC,33.83,0.01,
State Bank of India,500112,1887.95,-84.00,
"Goldman Sachs Group, Inc.",GS,103.02,-0.58,
Lloyds Banking Group PLC,LLOY,31.38,-0.25,
Lloyds Banking Group PLC (ADR),LYG,1.94,0.00,
HSBC Holdings plc (ADR),HBC,44.50,0.23,
Royal Bank of Scotland Group plc (ADR),RBS,7.04,-0.03,
Royal Bank of Scotland Group plc,RBS,222.80,-0.22,
Morgan Stanley,MS,14.61,-0.10,
UBS AG (USA),UBS,10.90,0.05,
Dexia SA,DEXB,0.22,-0.01,
Mitsubishi UFJ Financial Group Inc (ADR),MTU,4.71,-0.02,
Barclays PLC (ADR),BCS,11.52,0.31,
Barclays PLC,BARC,183.40,4.65,
Deutsche Bank AG (USA),DB,31.37,-0.23,
State Street Corporation,STT,41.85,0.04,
The Bank of New York Mellon Corporation,BK,22.25,-0.04,
"Nomura Holdings, Inc. (ADR)",NMR,3.55,-0.04,
"American International Group, Inc.",AIG,32.60,0.09,
ING Groep N.V. (ADR),ING,7.16,0.04,
ING Groep N.V.,INGA,5.84,0.02,
Charles Schwab Corp,SCHW,12.88,-0.13,
Natixis SA,KN,2.14,0.02,
Sun Life Financial Inc. (USA),SLF,22.14,0.37,
AXA (ADR),AXAHY,13.87,0.20,
Credit Suisse Group AG (ADR),CS,17.58,0.04,
The Blackstone Group L.P.,BX,13.74,-0.19,
KKR & Co. L.P.,KKR,14.24,0.03,
